lugar de interes,distancia min,estacion bici max,direccion de lugar de interes,bicis disponibles
Canal de Isabel II,281.9906964666282,Calle Santa Engracia nº 127,CALLE SANTA ENGRACIA 125,13
Carabanchel. Unidad de Participación Ciudadana y Cooperación Público Social,3394.864739510003,Glorieta Marqués de Vadillo nº 9,PLAZA CARABANCHEL 1 Junta Municipal del Distrito de Carabanchel,5
Casa Grande en Carabanchel,3400.4352561468413,Glorieta Marqués de Vadillo nº 9,CALLE MONSEÑOR OSCAR ROMERO 4,5
Casa Grande en Villa de Vallecas,3820.167579533221,Calle Hacienda de Pavones nº 342,CALLE VIRGEN DE LAS VI&amp;Ntilde;AS 11,18
"Casa de Baños. Calle Bravo Murillo, 133 (baños públicos)",279.51523249364305,Calle Doctor Santero nº 1,CALLE BRAVO MURILLO 133,2
Casa de Baños. Glorieta de Embajadores (baños públicos),24.75146821549206,Glorieta de Embajadores nº 2,GLORIETA EMBAJADORES 2,23
Casa de La Panadería,83.05799297154509,Calle Mayor nº 20,PLAZA MAYOR 27,27
Castillo de la Alameda,6205.396855529535,Calle Gutierre de Cetina nº 77,CALLE ANTONIO SANCHA 1,6
Cementerio Civil,1087.08844282158,Calle Gutierre de Cetina nº 77,AVENIDA DAROCA 103,6
Cementerio Cristo de El Pardo,10066.309985684871,Avenida Complutense nº 23,CEMENTERIO CRISTO DE EL PARDO ,8
Cementerio Sur,3327.492095354971,Calle San Delfín nº 9,CALLE ILDEFONSO GONZALEZ VALENCIA 2 PUERTA PRINCIPAL,17
Cementerio de Aravaca,6640.1731977787895,Avenida Complutense nº 23,CAMINO ZARZUELA 26,8
Cementerio de Barajas,8127.866397444206,Calle Carlota O'Neill nº 32,CARRETERA CEMENTERIO NUEVO 60,14
Cementerio de Canillas,2145.48698414054,Calle Carlota O'Neill nº 32,CALLE SILVANO 69,14
Cementerio de Canillejas,3737.04228016569,Calle Gutierre de Cetina nº 77,CALLE NECTAR 34,6
Cementerio de Carabanchel Alto,4335.524316620383,Glorieta Marqués de Vadillo nº 9,CALLE VIA LUSITANA 55,5
Cementerio de El Pardo,11414.392300965917,Avenida Complutense nº 23,CARRETERA MINGORRUBIO  sin número,8
Cementerio de Fuencarral,3120.477224678825,Calle Pedro Rico nº 4,AVENIDA MONTECARMELO 10,3
Cementerio de La Almudena,21.37236187930536,Avenida de Daroca nº 2,AVENIDA DAROCA 1,20
Cementerio de Vallecas,3134.819033502077,Calle Hacienda de Pavones nº 342,CALLE PICO DE LA CIERVA 6,18
Cementerio de Villaverde,3935.654217659062,Calle Antonio López nº 129,AVENIDA RAFAELA YBARRA 137,19
Central del SAMUR Social Darío Pérez Madera,128.95258952334686,Plaza de San Francisco nº 5,CARRERA SAN FRANCISCO 10,16
Centro ASPA 4. Ámbito de actuación: Latina y Carabanchel.,6532.312586347644,Calle Caramuel nº 51,CALLE PATRIMONIO DE LA HUMANIDAD 37 C/V PALAU DE LA MÚSICA,7
Centro Comunitario Casino de la Reina,302.658662997345,Glorieta de Embajadores nº 2,CALLE CASINO 3,23
Centro Comunitario Guatemala,1819.5425895129404,Calle Francos Rodríguez nº 62,CALLE CELANOVA 2,3
Centro Concertado de Atención a las Adicciones (CCAD) Cáritas Madrid,435.7951954238147,Calle Santa Hortensia nº 31,CALLE SANTA HORTENSIA 1,8
Centro Concertado de adicciones (CCAD) Centro (Cruz Roja),210.30764059275256,Calle Santa Engracia nº 14,CALLE HERMANOS ALVAREZ QUINTERO 3,16
Centro Cultural - Centro Socio Cultural Villa de Barajas,8491.106592602362,Calle Gutierre de Cetina nº 77,CALLE BOTICA 7,6
Centro Cultural Agustín Díaz (Moncloa - Aravaca),1032.4435366163686,Paseo de Moret nº 11,PASEO COMANDANTE FORTEA 42,15
Centro Cultural Alfredo Kraus (Fuencarral - El Pardo),3852.734081218119,Calle Pedro Rico nº 4,GLORIETA PRADERA DE VAQUERIZAS 9,3
